user_input,response,reference,retrieved_contexts
Does early tetralogy of Fallot total correction give better final lung volumes?,response,"Early correction of defects or reestablishments of perfusion of tetralogy of Fallot before completion of lung development might improve final adulthood lung volumes and capacities. It is better to consider total correction for all tetralogy of Fallot patients below 2-years old, or at least below 8-years old, if it is technically possible.","['Pulmonary blood flow may affect lung development in adulthood. Early total correction of tetralogy of Fallot may affect development of final lung volumes. We evaluated the effect of age at total correction on lung volumes years after the operation. In a retrospective cohort study on patients with totally corrected tetralogy of Fallot (mean age, 13.40 years at the time of follow-up), forced vital capacity, slow vital capacity, forced expiratory volume in 1 s, and other parameters were measured 154.8\u2009±\u200946.25 months after the operation. Comparison were made of 3 groups: ≤2-, 2-8-, and>8-years old at the time of total correction surgery. Among 322 enrolled patients, the mean values of the follow-up spirometry results in ≤2-, 2-8-,>8-year-olds and the percentage of predicted values were respectively: vital capacity: 4.46\u2009±\u20090.57\u2009L (107%\u2009±\u200910.96%), 3.89\u2009±\u20090.58\u2009L (91.10%\u2009±\u200912.25%), 3.25\u2009±\u20090.48\u2009L (82.35%\u2009±\u200910.62%), p\u2009<\u20090.001; forced vital capacity: 4.28\u2009±\u20090.63\u2009L (95.90%\u2009±\u200918.77%), 3.76\u2009±\u20090.58\u2009L (90.83%\u2009±\u200912.52%), 3.14\u2009±\u20090.49\u2009L (83.26%\u2009±\u200911.71%), p\u2009<\u20090.001; forced expiratory volume in 1 s: 4.22\u2009±\u20090.63\u2009L (104.84%\u2009±\u200913.64%), 3.66\u2009±\u20090.58\u2009L (90.61%\u2009±\u200912.59%), 3.02\u2009±\u20090.48\u2009L (84.31%\u2009±\u200912%), p\u2009<\u20090.001.']"
Does endothelial nitric oxide synthase intron 4 polymorphism influence the progression of renal disease?,response,"There was a significantly higher frequency of the a allele of intron 4 in both nondiabetic and diabetic hemodialysis patients, so the polymorphism of intron 4 of the ecNOS gene may have a wide influence on the progression of renal disease.","['Nitric oxide is a potent regulator of intrarenal hemodynamics and may influence the renal function. We investigated whether polymorphism of intron 4 of the endothelial constitutive nitric oxide synthase (ecNOS) gene is related to the progression of chronic renal failure. Polymorphism of ecNOS intron 4 was studied in 1,005 hemodialysis patients (710 with nondiabetic nephropathy and 295 with diabetic nephropathy) and was compared with the findings in 189 healthy subjects. ecNOS genotypes were determined by the polymerase chain reaction, followed by agarose gel electrophoresis. The frequencies of ecNOS4a/a, ecNOS4a/b, and ecNOS4b/b genotypes were, respectively, 0% (0/189), 13.8% (26/189), and 86.2% (163/189) in the control group; 1.7% (12/710), 22.1% (157/710), and 76.2% (541/710) in the nondiabetic nephropathy group, and 1.0% (3/295), 22.7% (67/295), and 76.3% (225/295) in the diabetic nephropathy group. The frequency of ecNOS4a (ecNOSa/a and ecNOSa/b) was significantly higher in both the nondiabetic group and in the diabetic group than in the controls (p = 0.0025 and p = 0.0438, respectively).']"
Is distribution of tidal ventilation during volume-targeted ventilation variable and influenced by age in the preterm lung?,response,During SIPPV + VTV the preterm infant exhibits marked breath-to-breath variability in regional ventilation which is influenced by age.,"['Synchronised volume-targeted ventilation (SIPPV + VTV) attempts to reduce lung injury by standardising volume delivery to the preterm lung. The aim of this study is to describe the regional distribution and variability of ventilation within the preterm lung during SIPPV + VTV. Twenty-seven stable, supine, preterm infants with <32 weeks gestation receiving SIPPV + VTV were studied. From each infant, the anterior-to-posterior impedance change due to tidal ventilation (∆Z (VT); countless units) was determined during every breath from three, 30-s, electrical impedance tomography recordings. ∆Z (VT) within the anterior, middle and posterior thirds of the chest were compared using area under the curve analysis. The coefficient of variation (CV) of ∆Z (VT) in the anterior and posterior hemithoraces, inflation pressure and, where available, V (T) at airway opening were compared. Infants were sub-grouped by age (≤7 and >7 days), supplemental oxygen requirement and set tidal volume. In all sub-groups, the middle third of the chest accounted for the greatest ∆Z (VT) [p < 0.0001, repeated-measures analysis of variance (ANOVA)]. The middle third of the chest constituted a greater relative ∆Z (VT) in infants aged >7 days compared with ≤7 days (p < 0.0001, repeated-measures ANOVA). Set tidal volume and oxygen requirement did not significantly influence the regional distribution of ∆Z (VT). The mean (standard deviation, SD) CV of ∆Z (VTANT) and ∆Z (VTPOST) were 30.6% (14.0%) and 31.9% (12.7%). ∆Z (VTANT) and ∆Z (VTPOST) expressed greater breath-to-breath variability than the variation in inflation pressure and V (T) at airway opening (p = 0.012 and p < 0.0001, respectively, paired t-tests).']"
Does microRNA-762 promote breast cancer cell proliferation and invasion by targeting IRF7 expression?,response,These results demonstrate that miR-762 tumour effect was achieved by targeting IRF7 in human breast cancer specimens.,"['miRNAs play crucial roles in human tumourigenesis. This study was performed to measure expression and function of miR-762 in breast cancer. Expression of miR-762 in breast tissues and cell lines (SK-BR-3, DA-MB-435s, MCF-7 and MDA-MB-231, HBL-100) was measured by using real-time RT-PCR. We restored expression of miR-762 in MCF-7 cells to measure its functional roles. Luciferase assays were performed to reveal the target gene of miR-762. Expression of miR-762 was high in both breast cancer cell lines and specimens, and its overexpression increased breast cancer cell proliferation and invasion. Interferon regulatory factor 7 (IRF7) is a direct target of miR-762 and overexpression of miR-762 reduced expression of IRF7. Moreover, IRF7 was repressed, its levels inversely correlated to miR-762 expression. IRF7 rescued miR-762-induced cell invasion and proliferation.']"
Can Prostate-Specific Antigen Kinetics before Prostate Biopsy Predict the Malignant Potential of Prostate Cancer?,response,"In PCa patients treated with other therapies besides prostatectomy, a high PSA velocity and a low %fPSA may predict high grade PCa with a Gleason sum≥8 or the presence of extracapsular invasion.","['To predict the malignant potential of prostate cancer (PCa) according to prostate-specific antigen velocity (PSAV), PSA density (PSAD), free/total PSA ratio (%fPSA), and digital rectal examination (DRE). From January 2009 to December 2012, 548 adult male patients were diagnosed with PCa by prostate biopsy at four hospitals in Korea. We retrospectively analyzed 155 adult male patients with an initial PSA level≤10 ng/mL and whose PSA levels had been checked more than two times at least 6 months before they had been diagnosed with PCa, with test intervals of more than 3 months. Patients with a urinary tract infection, and patients who had previously undergone cystoscopy or surgery of the prostate were excluded. We separated patients into two groups according to Gleason sum [Gleason sum≤7 (n=134) or Gleason sum≥8 (n=21)] and the presence of extracapsular invasion [organ confined (n=129) or extracapsular invasion (n=26)]. Differences between the groups were compared. The group with a Gleason sum≥8 or extracapsular invasion of PCa showed high PSAV and significantly lower %fPSA. There were no significant differences in PSAD and the presence of an abnormality on DRE between two groups.']"
Is snus the same as dip?,response,Smokers repeated some messages featured in early snus advertising. Snus was not seen as an acceptable substitute for smoking or way to quit cigarettes. Current smoker responses to snus advertising are not consistent with harm reduction.,"[""Since 2006, leading US cigarette companies have been promoting new snus products as line extensions of popular cigarette brands. These promotional efforts include direct mail marketing to consumers on cigarette company mailing lists. This study examines smokers' reactions to this advertising and perceptions of the new snus products. Eight focus groups (n=65 participants) were conducted in San Francisco and Los Angeles in 2010 with smokers who received tobacco direct mail advertising. The focus group discussions assessed smokers' perceptions of the new snus products. Focus group videos were transcribed and coded using Transana software to identify common themes. Most participants were aware of snus advertising and many had tried free samples. Most were aware that snus was supposed to be 'different' from traditional chewing tobacco but consistently did not know why. Participants willing to try snus still identified strongly as smokers, and for some participants, trying snus reinforced their preference for smoking. Snus' major benefits were use in smoke-free environments and avoiding social stigma related to secondhand smoke. Participants were sceptical of the idea that snus was safer than cigarettes and did not see it as an acceptable substitute for cigarettes or as a cessation aid.""]"
Risk behaviour in Swedish adolescents: is shared physical custody after divorce a risk or a protective factor?,response,"Shared physical custody after marriage break-up seems to constitute a health protective factor for adolescents' health and problem behaviour. In order to deepen our understanding of the positive and negative aspects of shared physical custody, our study should be followed by qualitative analyses and longitudinal studies of adolescents' experiences.","['The increase in shared physical custody in Sweden has been dramatic; 20 years ago only a small percentage of adolescents lived in shared physical custody, but currently ∼30% of the adolescents whose parents have separated or divorced divide their residence between parents. We hypothesized that living in shared physical custody or in a single-parent family is associated with a higher prevalence of adolescent risk behaviour than living in a two-parent family. Data on 15-year-old adolescents from the 2005/2006 to 2009/2010 Swedish Health Behaviour in School-aged Children (HBSC) survey were analysed using logistic regression. Adolescents living in shared physical custody had slightly higher rates of risk behaviour compared with adolescents from two-parent families, but significantly lower rates than their counterparts from single-parent families. Their odds of being a smoker or having been drunk were 60 and 50% higher, respectively, than those of their counterparts in two-parent families.']"
Does cYR61 modulate the vascular endothelial growth factor C expression of decidual NK cells via PI3K/AKT pathway?,response,"The upregulation of VEGFC secretion mainly depends on CYR61 binding with integrin αvβ3 on the surface of dNK cells. PI3K/AKT, rather than the ERK/MAPK signal, is involved in the regulation.","['Either vascular endothelial growth factor C (VEGFC) or CYR61 plays an important role in placental development and may be involved in pre-eclampsia. Decidual natural killer (dNK) cells are the main source of VEGFC in the maternal-fetal interface. However, it is unclear about CYR61 on the regulation of VEGFC secretion in dNK cells. Decidual natural killer cells were isolated from decidual tissues of first trimester of pregnancy with anti-human CD56-conjugated microbeads. Integrin αvβ3 was detected using immunofluorescent staining. dNK cells were cultured in the presence of CYR61, anti-human αvβ3 integrin antibody (LM609), PI3K inhibitor (LY294002), or MEK inhibitor (U0126). VEGFC mRNA and protein were evaluated by real-time PCR and ELISA, respectively. Exogenous CYR61 induced the expression of VEGFC in dNK cells in both mRNA and protein levels. Integrin αvβ3 was strongly expressed on dNK cell surface. Anti-αvβ3 integrin antibody inhibited the effect of CYR61 on VEGFC expression. LY294002, but not U0126, significantly reduced this promotion effect of CYR61 on dNK cells.']"
Is early diastolic dysfunction associated with intensive care unit mortality in cancer patients presenting with septic shock?,response,Early diastolic dysfunction is a strong and independent predictor of mortality in cancer patients presenting with septic shock. It is not associated with exposure to cardiotoxic drugs. Further studies incorporating monitoring of diastolic function and therapeutic interventions improving cardiac relaxation need to be evaluated in cancer patients presenting with septic shock.,"[""Cancer patients present a high risk of sepsis and are exposed to cardiotoxic drugs during chemotherapy. Myocardial dysfunction is common during septic shock and can be evaluated at bedside using echocardiography. The aim of this study was to identify early cardiac dysfunctions associated with intensive care unit (ICU) mortality in cancer patients presenting with septic shock. Seventy-two cancer patients admitted to the ICU underwent echocardiography within 48 h of developing septic shock. History of malignancies, anticancer treatments, and clinical characteristics were prospectively collected. ICU mortality was 48%. Diastolic dysfunction (e' ≤8 cm s(-1)) was an independent echocardiographic parameter associated with ICU mortality {odds ratio (OR) 7.7 [95% confidence interval (CI), 2.58-23.38]; P<0.001}. Overall, three factors were independently associated with ICU mortality: sepsis-related organ failure assessment score at admission [OR 1.35 ( 95% CI, 1.05-1.74); P=0.017], occurrence of diastolic dysfunction [OR 16.6 (95% CI, 3.28-84.6); P=0.001], and need for conventional mechanical ventilation [OR 16.6 (95% CI, 3.6-77.15); P<0.001]. Diastolic dysfunction was not associated with exposure to cardiotoxic drugs.""]"
"Are complexes between the LKB1 tumor suppressor , STRAD alpha/beta and MO25 alpha/beta upstream kinases in the AMP-activated protein kinase cascade?",response,These results provide the first description of a physiological substrate for the LKB1 tumor suppressor and suggest that it functions as an upstream regulator of AMPK. Our findings indicate that the tumors in Peutz-Jeghers syndrome could result from deficient activation of AMPK as a consequence of LKB1 inactivation.,"[""The AMP-activated protein kinase (AMPK) cascade is a sensor of cellular energy charge that acts as a 'metabolic master switch' and inhibits cell proliferation. Activation requires phosphorylation of Thr172 of AMPK within the activation loop by upstream kinases (AMPKKs) that have not been identified. Recently, we identified three related protein kinases acting upstream of the yeast homolog of AMPK. Although they do not have obvious mammalian homologs, they are related to LKB1, a tumor suppressor that is mutated in the human Peutz-Jeghers cancer syndrome. We recently showed that LKB1 exists as a complex with two accessory subunits, STRAD alpha/beta and MO25 alpha/beta. We report the following observations. First, two AMPKK activities purified from rat liver contain LKB1, STRAD alpha and MO25 alpha, and can be immunoprecipitated using anti-LKB1 antibodies. Second, both endogenous and recombinant complexes of LKB1, STRAD alpha/beta and MO25 alpha/beta activate AMPK via phosphorylation of Thr172. Third, catalytically active LKB1, STRAD alpha or STRAD beta and MO25 alpha or MO25 beta are required for full activity. Fourth, the AMPK-activating drugs AICA riboside and phenformin do not activate AMPK in HeLa cells (which lack LKB1), but activation can be restored by stably expressing wild-type, but not catalytically inactive, LKB1. Fifth, AICA riboside and phenformin fail to activate AMPK in immortalized fibroblasts from LKB1-knockout mouse embryos.""]"
